Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
(millions)","Revenue 
Change","Profits
(millions)","Profit 
Change","Assets
(millions)","Market Value 
As of 3/31/22 (m)",,,,,,,,
1,Walmart,2300000,NULL,572754,2.4,13673.0 ,1.2,244860,409795,,,,,,,,
2,Amazon,1608000,NULL,469822,21.7,33364.0 ,56.4,420549,1658807,,,,,,,,
3,Apple,154000,NULL,365817,33.3,94680.0 ,64.9,351002,2849538,,,,,,,,
4,CVS Health,258000,NULL,292111,8.7,7910.0 ,10.2,232999,132839,,,,,,,,
5,UnitedHealth Group,350000,NULL,287597,11.8,17285.0 ,12.2,212206,479830,,,,,,,,
6,Exxon Mobil,63000,4 ,285640,57.4,23040.0 ,NULL,338923,349652,,,,,,,,
7,Berkshire Hathaway,372000,-1 ,276094,12.5,89795.0 ,111.2,958784,779542,,,,,,,,
8,Alphabet,156500,1 ,257637,41.2,76033.0 ,88.8,359268,1842326,,,,,,,,
9,McKesson,67500,-2 ,238228,3.1,-4539.0 ,-604.3,65015,45858,,,,,,,,
10,AmerisourceBergen,40000,-2 ,213989,12.7,1539.9 ,NULL,57338,32356,,,,,,,,
11,Costco Wholesale,288000,1 ,195929,17.5,5007.0 ,25.1,59268,255231,,,,,,,, 
12,Cigna,72963,1 ,174078,8.5,5365.0 ,-36.6,154889,76286,,,,,,,,
13,AT&T,202600,-2 ,168864,-1.7,20081.0 ,NULL,551622,169262,,,,,,,,
14,Microsoft,181000,1 ,168088,17.5,61271.0 ,38.4,333779,2311359,,,,,,,,
15,Cardinal Health,46827,-1 ,162467,6.2,611.0 ,NULL,44453,15709,,,,,,,,
16,Chevron,42595,11 ,162465,71.6,15625.0 ,NULL,239535,317120,,,,,,,,
17,Home Depot,490600,1 ,151157,14.4,16433.0 ,27.7,71876,309313,,,,,,,,
18,Walgreens Boots Alliance,258500,-2 ,148579,6.5,2542.0 ,457.5,81285,38671,,,,,,,,
19,Marathon Petroleum,17700,13 ,141032,58.5,9738.0 ,NULL,85373,47758,,,,,,,,
20,Anthem,98200,3 ,138639,13.8,6104.0 ,33.5,97460,118534,,,,,,,,
21,Kroger,420000,-4 ,137888,4.1,1655.0 ,-36.0,49086,41496,,,,,,,,
22,Ford Motor,183000,-1 ,136341,7.2,17937.0 ,NULL,257035,67958,,,,,,,,
23,Verizon Communications,118400,-3 ,133613,4.1,22065.0 ,24.0,366596,213837,,,,,,,,
24,JPMorgan Chase,271025,-5 ,127202,-1.8,48334.0 ,65.9,3743567,402527,,,,,,,,
25,General Motors,157000,-3 ,127004,3.7,10019.0 ,55.9,244718,63555,,,,,,,,
26,Centene,72500,-2 ,125982,13.4,1347.0 ,-25.5,78375,49072,,,,,,,,
27,Meta Platforms,71970,7 ,117929,37.2,39370.0 ,35.1,165987,605251,,,,,,,,
28,Comcast,189000,-2 ,116385,12.4,14159.0 ,34.4,275905,212246,,,,,,,,
29,Phillips 66,14000,19 ,114852,75.4,1317.0 ,NULL,55594,41561,,,,,,,,
30,Valero Energy,9804,23 ,108332,80.2,930.0 ,NULL,57888,41572,,,,,,,,
31,Dell Technologies,133000,-3 ,106995,13.6,5563.0 ,71.2,92735,38164,,,,,,,,
32,Target,450000,-2 ,106005,13.3,6946.0 ,59.0,53811,98134,,,,,,,,
33,Fannie Mae,7400,-8 ,101543,-4.6,22176.0 ,87.9,4229166,909,,,,,,,,
34,UPS,400945,1 ,97287,15.0,12890.0 ,859.8,69405,186817,,,,,,,,
35,Lowe's,270000,-4 ,96250,7.4,8442.0 ,44.7,44640,133761,,,,,,,,
36,Bank of America,208248,-7 ,93851,0.1,31978.0 ,78.7,3169495,332433,,,,,,,,
37,Johnson & Johnson,141700,-1 ,93775,13.6,20878.0 ,41.9,182018,466047,,,,,,,,
38,Archer Daniels Midland,39979,13 ,85249,32.5,2709.0 ,52.9,56136,50769,,,,,,,,
39,FedEx,484000,6 ,83959,21.3,5231.0 ,306.8,82777,59971,,,,,,,,
40,Humana,95500,1 ,83064,7.7,2933.0 ,-12.9,44358,55155,,,,,,,,
41,Wells Fargo,247848,-4 ,82407,2.6,21548.0 ,552.8,1948068,184225,,,,,,,,
42,State Farm Insurance,53586,-3 ,82225,4.2,1280.9 ,-65.7,325349,NULL,,,,,,,,
43,Pfizer,79000,34 ,81288,94.0,21979.0 ,128.6,181476,292385,,,,,,,,
44,Citigroup,221768,-11 ,79865,-10.1,21952.0 ,98.7,2291413,105330,,,,,,,,
45,PepsiCo,309000,-1 ,79474,12.9,7618.0 ,7.0,92377,231528,,,,,,,,
46,Intel,121100,-6 ,79024,1.5,19868.0 ,-4.9,168406,202636,,,,,,,,
47,Procter & Gamble,101000,-4 ,76118,7.3,14306.0 ,9.8,119307,366272,,,,,,,,
48,General Electric,168000,-10 ,74196,-6.8,-6520.0 ,-214.3,198874,100810,,,,,,,,
49,IBM,297800,-7 ,72344,-1.7,5743.0 ,2.7,132001,116928,,,,,,,,
50,MetLife,43000,-4 ,71080,4.8,6554.0 ,21.2,759708,57987,,,,,,,,
51,Prudential Financial,40916,4 ,70934,24.4,7724.0 ,NULL,937582,44482,,,,,,,,
52,Albertsons,300000,NULL,69690,11.6,850.2 ,82.3,26598,16064,,,,,,,,
53,Walt Disney,171000,-3 ,67418,3.1,1995.0 ,NULL,203609,249718,,,,,,,,
54,Energy Transfer,12558,27 ,67417,73.1,5470.0 ,NULL,105963,34497,,,,,,,,
55,Lockheed Martin,114000,-6 ,67044,2.5,6315.0 ,-7.6,50873,117648,,,,,,,,
56,Freddie Mac,7301,-9 ,65898,-0.5,12109.0 ,65.3,3025586,510,,,,,,,,
57,Goldman Sachs Group,43900,2 ,64989,21.5,21635.0 ,128.7,1463988,117668,,,,,,,,
58,Raytheon Technologies,174000,-1 ,64388,13.8,3864.0 ,NULL,161404,147641,,,,,,,,
59,HP,51000,-3 ,63487,12.1,6503.0 ,128.7,38610,38237,,,,,,,,
60,Boeing,142000,-6 ,62286,7.1,-4202.0 ,NULL,138552,113059,,,,,,,,
61,Morgan Stanley,74814,NULL,61121,17.4,15034.0 ,36.7,1188140,155686,,,,,,,,
62,HCA Healthcare,244000,NULL,58752,14.0,6956.0 ,85.3,50742,75692,,,,,,,,
63,AbbVie,50000,5 ,56197,22.7,11542.0 ,150.0,146529,286332,,,,,,,,
64,Dow,35700,18 ,54968,42.6,6311.0 ,415.2,62990,46840,,,,,,,,
65,Tesla,99290,35 ,53823,70.7,5519.0 ,665.5,62131,1113708,,,,,,,,
66,Allstate,54500,4 ,53228,18.8,1599.0 ,-71.3,99440,38554,,,,,,,,
67,AIG,36600,5 ,52057,19.0,9388.0 ,NULL,596112,50608,,,,,,,,
68,Best Buy,81375,-2 ,51761,9.5,2454.0 ,36.5,17504,20473,,,,,,,,
69,Charter Communications,93700,-5 ,51682,7.5,4654.0 ,44.4,142491,112803,,,,,,,,
70,Sysco,57710,-10 ,51298,-3.0,524.2 ,143.3,21414,41433,,,,,,,,
71,Merck,67500,-6 ,51216,6.7,13049.0 ,84.6,105694,207401,,,,,,,,
72,New York Life Insurance,14344,-5 ,51199,9.6,277.1 ,NULL,379985,NULL,,,,,,,,
73,Caterpillar,107700,5 ,50971,22.1,6489.0 ,116.4,82793,119407,,,,,,,,
74,Cisco Systems,79500,-11 ,49818,1.0,10591.0 ,-5.6,97497,231636,,,,,,,,
75,TJX,340000,22 ,48550,51.1,3282.8 ,3528.6,28462,71195,,,,,,,,
76,Publix Super Markets,232000,-7 ,48394,7.1,4412.2 ,11.1,31524,NULL,,,,,,,,
77,ConocoPhillips,9900,79 ,48349,151.1,8079.0 ,NULL,90661,129605,,,,,,,,
78,Liberty Mutual Insurance Group,45000,-7 ,48200,10.1,3068.0 ,304.7,156043,NULL,,,,,,,,
79,Progressive,49077,-5 ,47702,11.8,3350.9 ,-41.3,71132,66670,,,,,,,,
80,Nationwide,24134,-4 ,47376,13.0,1617.2 ,NULL,278412,NULL,,,,,,,,
